title,link,company,salary,date,summary
Software Engineering Specialist,"https://in.indeed.com/q-Techengine-l-Pittsburgh,-PA-jobs.html","Burns Engineering, Inc",$69.6K - $88.1K a year Indeed est.,PostedPosted 2 days ago,"Ranking technical staff, prepare designs and implement software solutions for railroad and public mass transit applications."
Software Engineer - Front End,"https://in.indeed.com/l-Pittsburgh,-PA-jobs.html",Free Market Health,$78.2K - $99.1K a year Indeed est.,PostedPosted 30+ days ago,"2+ years’ experience as a front-end developer.
Write and review testable, scalable JavaScript code that supports and enhances single page applications."
Software Developer II,"https://in.indeed.com/q-Front-End-Developer-l-Pittsburgh,-PA-jobs.html","PGT Trucking, Inc.",$62.5K - $79.2K a year Indeed est.,PostedPosted 10 days ago,"Leverage and develop APIs to connect various software offerings.
3-5 years of experience developing and implementing enterprise-level software applications."
Software Engineer I,https://in.indeed.com/career/front-end-developer/salaries/Pittsburgh--PA?campaignid=serp-more&fromjk=0eed7cc5f28d9b36&from=serp-more,Netanomics,$83.2K - $105K a year Indeed est.,PostedPosted 30+ days ago,"You should be somebody who enjoys working on complex system software, is customer-centric, and feels strongly not only about building good software but about…"
Software Developer,https://in.indeed.com/rc/clk?jk=a651df452878b71e&fccid=b4048be2884af072&vjs=3,Neuraville LLC,$63.3K - $80.2K a year Indeed est.,PostedPosted 30+ days ago,"Experience with software containerization technologies.
Open-source software management expertise.
You will help create and maintain software features for…"
Software Engineer,https://in.indeed.com/cmp/Bny-Mellon,Teradata,$106K - $134K a year Indeed est.,PostedJust posted,"Experience mentoring junior software engineers.
Familiarity with dev-ops software development methods.
At least 3-5+ years of hands-on software development…"
Jr Software Engineer,https://in.indeed.com/cmp/Bny-Mellon/reviews,SHzoom,$99.4K - $126K a year Indeed est.,PostedPosted 3 days ago,"Our patented system creates a robust, online marketplace for minor fender repairs.
The ideal candidate will be responsible for developing high-quality…"
Front End Software Developer - Simon Initative,"https://in.indeed.com/q-Bny-Mellon-l-Pittsburgh,-PA-jobs.html",Carnegie Mellon University,No salary,PostedPosted 30+ days ago,"Collaborate with software engineers, learning scientists, course developers, domain experts, visual designers, and usability specialists to define software…"
"Specialist, Back-End Developer","https://in.indeed.com/l-Pittsburgh,-PA-jobs.html",The Bank of New York Mellon Corporation,$103K - $130K a year Indeed est.,PostedPosted 2 days ago,"Integrate software components into a fully functional software system.
Execute full lifecycle software development.
Actively participate in code reviews."
Perception Software Engineer,"https://in.indeed.com/q-Software-Engineer-l-Pittsburgh,-PA-jobs.html","Astrobotic Technology, Inc.",$85.3K - $108K a year Indeed est.,PostedPosted 30+ days ago,"Writing understandable software components and tests.
Maintaining software throughout the development lifecycle.
Relevant publications or targeted experiences."
